id,name,region_id,body,sweetness,type
1,Chateau des Tours,30,Balanced,Medium,White
2,Villeneuve Rivesaltes Ambre,1,Balanced,Sweet,White
3,Papillon Blanc,1,Balanced,Medium,White
4,Feudi di San Gregorio,9,Balanced,Medium,White
5,Mastroberardino,9,Balanced,Medium,White
6,Cloudy Bay Sauvignon Blanc,5,Balanced,off-dry,White
7,Pavillan blanc de chateaux margaux,26,Full,off-dry,White
8,Sancere les baronnes,1,Balanced,off-dry,White
9,Dom Perignon Brut,28,Full,Dry,White
10,Bollinger R.D Extra Brut,28,Full,Dry,White
11,Mount Pleasant Elizabeth Semillon,4,Balanced,Medium,White
12,Die Ouwingerdreeks Kokerboom,16,Light,Sweet,White
13,Bionic Frog,2,Balanced,,Red
14,Boekenhoutskloof The Chocolate Block,3,Full,,Red
15,Shafer Vineyards Relentless,23,Light,Medium,Red
16,Ridge Vineyards Geyserville,23,Light,Sweet,Red
17,Matchbook Tinto Rey,23,Full,Medium,Red
18,Sessantanni Old Vines Primitivo di Manduria,9,Full,,Red
