wine_id,note
Chateau des Tours,tropical
Papillon Blanc,tropical
Feudi di San Gregorio,tropical
Mastroberardino,floral
Mastroberardino,orange blossom
Mastroberardino,tropical
Cloudy Bay Sauvignon Blanc,gooseberry
Cloudy Bay Sauvignon Blanc,melon
Pavillan blanc de chateaux margaux,gooseberry
Pavillan blanc de chateaux margaux,nectarine
Pavillan blanc de chateaux margaux,passionfruit
Pavillan blanc de chateaux margaux,floral
Sancere les baronnes,citrus
Sancere les baronnes,herbal
Dom Perignon Brut,nutty
Bollinger R.D Extra Brut,citrus
Bollinger R.D Extra Brut,grapefruit
Bollinger R.D Extra Brut,honey
Mount Pleasant Elizabeth Semillon,lime 
Mount Pleasant Elizabeth Semillon,floral
Mount Pleasant Elizabeth Semillon,tropical
Boekenhoutskloof The Chocolate Block,fruity
Boekenhoutskloof The Chocolate Block,chocolate
Shafer Vineyards Relentless,berry
Ridge Vineyards Geyserville,berry
